quarter,metric,first_release_date,first_value,latest_value,last_update_date,base_year
2020-Q2,imports_comp_yoy,2026-05-30,-18.5,-18.5,2026-06-13,2015
2020-Q3,imports_comp_yoy,2026-05-30,-7.8,-7.8,2026-06-13,2015
2020-Q4,imports_comp_yoy,2026-05-30,-3.4,-3.4,2026-06-13,2015
2021-Q1,imports_comp_yoy,2026-05-30,12.2,12.2,2026-06-13,2015
2021-Q2,imports_comp_yoy,2026-05-30,35.3,35.3,2026-06-13,2015
2021-Q3,imports_comp_yoy,2026-05-30,19.2,19.2,2026-06-13,2015
2021-Q4,imports_comp_yoy,2026-05-30,20.1,20.1,2026-06-13,2015
2022-Q1,imports_comp_yoy,2026-05-30,16.4,16.4,2026-06-13,2015
2022-Q2,imports_comp_yoy,2026-05-30,19.2,19.2,2026-06-13,2015
2022-Q3,imports_comp_yoy,2026-05-30,21.6,21.6,2026-06-13,2015
2022-Q4,imports_comp_yoy,2026-05-30,7.4,7.4,2026-06-13,2015
2023-Q1,imports_comp_yoy,2026-05-30,-4.4,-4.4,2026-06-13,2015
2023-Q2,imports_comp_yoy,2026-05-30,-9.1,-9.1,2026-06-13,2015
2023-Q3,imports_comp_yoy,2026-05-30,-11.0,-11.0,2026-06-13,2015
2023-Q4,imports_comp_yoy,2026-05-30,-2.2,-2.2,2026-06-13,2015
2024-Q1,imports_comp_yoy,2026-05-30,5.6,5.6,2026-06-13,2015
2024-Q2,imports_comp_yoy,2026-05-30,9.0,9.0,2026-06-13,2015
2024-Q3,imports_comp_yoy,2026-05-30,13.3,13.3,2026-06-13,2015
2024-Q4,imports_comp_yoy,2026-05-30,7.0,7.0,2026-06-13,2015
2025-Q1,imports_comp_yoy,2026-05-30,5.2,5.2,2026-06-13,2015
2025-Q2,imports_comp_yoy,2026-05-30,7.9,7.9,2026-06-13,2015
2025-Q3,imports_comp_yoy,2026-05-30,3.0,3.0,2026-06-13,2015
2025-Q4,imports_comp_yoy,2026-05-30,9.0,9.0,2026-06-13,2015
2026-Q1,imports_comp_yoy,2026-05-30,4.6,4.6,2026-06-13,2015
2016-Q1,sector_agriculture_yoy,2026-05-30,-2.2,-2.2,2026-06-13,2015
2016-Q2,sector_agriculture_yoy,2026-05-30,-5.8,-5.8,2026-06-13,2015
2016-Q3,sector_agriculture_yoy,2026-05-30,-4.6,-4.6,2026-06-13,2015
